,Field 1,Field 2,Value,country
23,Employment Rate (no unit),Average Wage (USD),0.28,PRT
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.24,PRT
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.87,PRT
26,Hours worked per year (hours/year),Income Inequality (no unit),0.4,PRT
27,Hours worked per year (hours/year),Employment Rate (no unit),0.19,PRT
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,PRT
29,Hours worked per year (hours/year),Average Wage (USD),-0.07,PRT
30,Average Wage (USD),Poverty rate (no unit),-0.24,PRT
31,Average Wage (USD),GDP per hours worked (USD/hour),0.25,PRT
32,Average Wage (USD),Income Inequality (no unit),0.33,PRT
33,Average Wage (USD),Employment Rate (no unit),0.28,PRT
34,Average Wage (USD),Hours worked per year (hours/year),-0.07,PRT
35,Average Wage (USD),Average Wage (USD),1.0,PRT
0,Poverty rate (no unit),Poverty rate (no unit),1.0,SVK
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.35,SVK
2,Poverty rate (no unit),Income Inequality (no unit),0.07,SVK
3,Poverty rate (no unit),Employment Rate (no unit),0.1,SVK
4,Poverty rate (no unit),Hours worked per year (hours/year),-0.05,SVK
5,Poverty rate (no unit),Average Wage (USD),0.26,SVK
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.35,SVK
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,SVK
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.76,SVK
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.91,SVK
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.7,SVK
11,GDP per hours worked (USD/hour),Average Wage (USD),0.99,SVK
12,Income Inequality (no unit),Poverty rate (no unit),0.07,SVK
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.76,SVK
14,Income Inequality (no unit),Income Inequality (no unit),1.0,SVK
15,Income Inequality (no unit),Employment Rate (no unit),-0.84,SVK
16,Income Inequality (no unit),Hours worked per year (hours/year),0.66,SVK
17,Income Inequality (no unit),Average Wage (USD),-0.76,SVK
18,Employment Rate (no unit),Poverty rate (no unit),0.1,SVK
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.91,SVK
20,Employment Rate (no unit),Income Inequality (no unit),-0.84,SVK
21,Employment Rate (no unit),Employment Rate (no unit),1.0,SVK
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.65,SVK
23,Employment Rate (no unit),Average Wage (USD),0.94,SVK
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.05,SVK
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.7,SVK
26,Hours worked per year (hours/year),Income Inequality (no unit),0.66,SVK
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.65,SVK
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,SVK
29,Hours worked per year (hours/year),Average Wage (USD),-0.7,SVK
30,Average Wage (USD),Poverty rate (no unit),0.26,SVK
31,Average Wage (USD),GDP per hours worked (USD/hour),0.99,SVK
32,Average Wage (USD),Income Inequality (no unit),-0.76,SVK
33,Average Wage (USD),Employment Rate (no unit),0.94,SVK
34,Average Wage (USD),Hours worked per year (hours/year),-0.7,SVK
35,Average Wage (USD),Average Wage (USD),1.0,SVK
0,Poverty rate (no unit),Poverty rate (no unit),1.0,ESP
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.36,ESP
2,Poverty rate (no unit),Income Inequality (no unit),0.52,ESP
3,Poverty rate (no unit),Employment Rate (no unit),-0.41,ESP
4,Poverty rate (no unit),Hours worked per year (hours/year),-0.35,ESP
5,Poverty rate (no unit),Average Wage (USD),-0.05,ESP
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.36,ESP
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,ESP
8,GDP per hours worked (USD/hour),Income Inequality (no unit),0.4,ESP
9,GDP per hours worked (USD/hour),Employment Rate (no unit),-0.04,ESP
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.94,ESP
11,GDP per hours worked (USD/hour),Average Wage (USD),0.55,ESP
12,Income Inequality (no unit),Poverty rate (no unit),0.52,ESP
13,Income Inequality (no unit),GDP per hours worked (USD/hour),0.4,ESP
14,Income Inequality (no unit),Income Inequality (no unit),1.0,ESP
15,Income Inequality (no unit),Employment Rate (no unit),-0.87,ESP
16,Income Inequality (no unit),Hours worked per year (hours/year),-0.07,ESP
17,Income Inequality (no unit),Average Wage (USD),0.53,ESP
18,Employment Rate (no unit),Poverty rate (no unit),-0.41,ESP
19,Employment Rate (no unit),GDP per hours worked (USD/hour),-0.04,ESP
20,Employment Rate (no unit),Income Inequality (no unit),-0.87,ESP
21,Employment Rate (no unit),Employment Rate (no unit),1.0,ESP
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.18,ESP
23,Employment Rate (no unit),Average Wage (USD),-0.35,ESP
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.35,ESP
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.94,ESP
26,Hours worked per year (hours/year),Income Inequality (no unit),-0.07,ESP
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.18,ESP
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,ESP
29,Hours worked per year (hours/year),Average Wage (USD),-0.28,ESP
30,Average Wage (USD),Poverty rate (no unit),-0.05,ESP
31,Average Wage (USD),GDP per hours worked (USD/hour),0.55,ESP
32,Average Wage (USD),Income Inequality (no unit),0.53,ESP
33,Average Wage (USD),Employment Rate (no unit),-0.35,ESP
34,Average Wage (USD),Hours worked per year (hours/year),-0.28,ESP
35,Average Wage (USD),Average Wage (USD),1.0,ESP
0,Poverty rate (no unit),Poverty rate (no unit),1.0,SWE
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.76,SWE
2,Poverty rate (no unit),Income Inequality (no unit),0.91,SWE
3,Poverty rate (no unit),Employment Rate (no unit),0.57,SWE
4,Poverty rate (no unit),Hours worked per year (hours/year),-0.17,SWE
5,Poverty rate (no unit),Average Wage (USD),0.68,SWE
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.76,SWE
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,SWE
8,GDP per hours worked (USD/hour),Income Inequality (no unit),0.72,SWE
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.57,SWE
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),0.2,SWE
11,GDP per hours worked (USD/hour),Average Wage (USD),0.98,SWE
12,Income Inequality (no unit),Poverty rate (no unit),0.91,SWE
13,Income Inequality (no unit),GDP per hours worked (USD/hour),0.72,SWE
14,Income Inequality (no unit),Income Inequality (no unit),1.0,SWE
15,Income Inequality (no unit),Employment Rate (no unit),0.66,SWE
16,Income Inequality (no unit),Hours worked per year (hours/year),0.17,SWE
17,Income Inequality (no unit),Average Wage (USD),0.75,SWE
18,Employment Rate (no unit),Poverty rate (no unit),0.57,SWE
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.57,SWE
20,Employment Rate (no unit),Income Inequality (no unit),0.66,SWE
21,Employment Rate (no unit),Employment Rate (no unit),1.0,SWE
22,Employment Rate (no unit),Hours worked per year (hours/year),0.01,SWE
23,Employment Rate (no unit),Average Wage (USD),0.65,SWE
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.17,SWE
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),0.2,SWE
26,Hours worked per year (hours/year),Income Inequality (no unit),0.17,SWE
27,Hours worked per year (hours/year),Employment Rate (no unit),0.01,SWE
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,SWE
29,Hours worked per year (hours/year),Average Wage (USD),0.07,SWE
30,Average Wage (USD),Poverty rate (no unit),0.68,SWE
31,Average Wage (USD),GDP per hours worked (USD/hour),0.98,SWE
32,Average Wage (USD),Income Inequality (no unit),0.75,SWE
33,Average Wage (USD),Employment Rate (no unit),0.65,SWE
34,Average Wage (USD),Hours worked per year (hours/year),0.07,SWE
35,Average Wage (USD),Average Wage (USD),1.0,SWE
0,Poverty rate (no unit),Poverty rate (no unit),1.0,EST
1,Poverty rate (no unit),GDP per hours worked (USD/hour),-0.41,EST
2,Poverty rate (no unit),Income Inequality (no unit),0.12,EST
3,Poverty rate (no unit),Employment Rate (no unit),-0.2,EST
4,Poverty rate (no unit),Hours worked per year (hours/year),0.36,EST
5,Poverty rate (no unit),Average Wage (USD),-0.4,EST
6,GDP per hours worked (USD/hour),Poverty rate (no unit),-0.41,EST
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,EST
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.82,EST
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.89,EST
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.84,EST
11,GDP per hours worked (USD/hour),Average Wage (USD),0.99,EST
12,Income Inequality (no unit),Poverty rate (no unit),0.12,EST
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.82,EST
14,Income Inequality (no unit),Income Inequality (no unit),1.0,EST
15,Income Inequality (no unit),Employment Rate (no unit),-0.96,EST
16,Income Inequality (no unit),Hours worked per year (hours/year),0.69,EST
17,Income Inequality (no unit),Average Wage (USD),-0.88,EST
18,Employment Rate (no unit),Poverty rate (no unit),-0.2,EST
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.89,EST
20,Employment Rate (no unit),Income Inequality (no unit),-0.96,EST
21,Employment Rate (no unit),Employment Rate (no unit),1.0,EST
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.65,EST
23,Employment Rate (no unit),Average Wage (USD),0.91,EST
24,Hours worked per year (hours/year),Poverty rate (no unit),0.36,EST
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.84,EST
26,Hours worked per year (hours/year),Income Inequality (no unit),0.69,EST
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.65,EST
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,EST
29,Hours worked per year (hours/year),Average Wage (USD),-0.83,EST
30,Average Wage (USD),Poverty rate (no unit),-0.4,EST
31,Average Wage (USD),GDP per hours worked (USD/hour),0.99,EST
32,Average Wage (USD),Income Inequality (no unit),-0.88,EST
33,Average Wage (USD),Employment Rate (no unit),0.91,EST
34,Average Wage (USD),Hours worked per year (hours/year),-0.83,EST
35,Average Wage (USD),Average Wage (USD),1.0,EST
0,Poverty rate (no unit),Poverty rate (no unit),1.0,SVN
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.02,SVN
2,Poverty rate (no unit),Income Inequality (no unit),0.66,SVN
3,Poverty rate (no unit),Employment Rate (no unit),-0.71,SVN
4,Poverty rate (no unit),Hours worked per year (hours/year),0.12,SVN
5,Poverty rate (no unit),Average Wage (USD),0.05,SVN
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.02,SVN
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,SVN
8,GDP per hours worked (USD/hour),Income Inequality (no unit),0.29,SVN
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.73,SVN
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.85,SVN
11,GDP per hours worked (USD/hour),Average Wage (USD),0.99,SVN
12,Income Inequality (no unit),Poverty rate (no unit),0.66,SVN
13,Income Inequality (no unit),GDP per hours worked (USD/hour),0.29,SVN
14,Income Inequality (no unit),Income Inequality (no unit),1.0,SVN
15,Income Inequality (no unit),Employment Rate (no unit),-0.37,SVN
16,Income Inequality (no unit),Hours worked per year (hours/year),-0.22,SVN
17,Income Inequality (no unit),Average Wage (USD),0.33,SVN
18,Employment Rate (no unit),Poverty rate (no unit),-0.71,SVN
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.73,SVN
20,Employment Rate (no unit),Income Inequality (no unit),-0.37,SVN
21,Employment Rate (no unit),Employment Rate (no unit),1.0,SVN
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.74,SVN
23,Employment Rate (no unit),Average Wage (USD),0.74,SVN
24,Hours worked per year (hours/year),Poverty rate (no unit),0.12,SVN
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.85,SVN
26,Hours worked per year (hours/year),Income Inequality (no unit),-0.22,SVN
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.74,SVN
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,SVN
29,Hours worked per year (hours/year),Average Wage (USD),-0.86,SVN
30,Average Wage (USD),Poverty rate (no unit),0.05,SVN
31,Average Wage (USD),GDP per hours worked (USD/hour),0.99,SVN
32,Average Wage (USD),Income Inequality (no unit),0.33,SVN
33,Average Wage (USD),Employment Rate (no unit),0.74,SVN
34,Average Wage (USD),Hours worked per year (hours/year),-0.86,SVN
35,Average Wage (USD),Average Wage (USD),1.0,SVN
0,Poverty rate (no unit),Poverty rate (no unit),1.0,LVA
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.23,LVA
2,Poverty rate (no unit),Income Inequality (no unit),0.55,LVA
3,Poverty rate (no unit),Employment Rate (no unit),0.69,LVA
4,Poverty rate (no unit),Hours worked per year (hours/year),-0.12,LVA
5,Poverty rate (no unit),Average Wage (USD),0.45,LVA
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.23,LVA
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,LVA
8,GDP per hours worked (USD/hour),Income Inequality (no unit),-0.55,LVA
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.8,LVA
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),-0.65,LVA
11,GDP per hours worked (USD/hour),Average Wage (USD),0.96,LVA
12,Income Inequality (no unit),Poverty rate (no unit),0.55,LVA
13,Income Inequality (no unit),GDP per hours worked (USD/hour),-0.55,LVA
14,Income Inequality (no unit),Income Inequality (no unit),1.0,LVA
15,Income Inequality (no unit),Employment Rate (no unit),-0.1,LVA
16,Income Inequality (no unit),Hours worked per year (hours/year),0.07,LVA
17,Income Inequality (no unit),Average Wage (USD),-0.4,LVA
18,Employment Rate (no unit),Poverty rate (no unit),0.69,LVA
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.8,LVA
20,Employment Rate (no unit),Income Inequality (no unit),-0.1,LVA
21,Employment Rate (no unit),Employment Rate (no unit),1.0,LVA
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.51,LVA
23,Employment Rate (no unit),Average Wage (USD),0.85,LVA
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.12,LVA
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),-0.65,LVA
26,Hours worked per year (hours/year),Income Inequality (no unit),0.07,LVA
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.51,LVA
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,LVA
29,Hours worked per year (hours/year),Average Wage (USD),-0.57,LVA
30,Average Wage (USD),Poverty rate (no unit),0.45,LVA
31,Average Wage (USD),GDP per hours worked (USD/hour),0.96,LVA
32,Average Wage (USD),Income Inequality (no unit),-0.4,LVA
33,Average Wage (USD),Employment Rate (no unit),0.85,LVA
34,Average Wage (USD),Hours worked per year (hours/year),-0.57,LVA
35,Average Wage (USD),Average Wage (USD),1.0,LVA
0,Poverty rate (no unit),Poverty rate (no unit),1.0,LTU
1,Poverty rate (no unit),GDP per hours worked (USD/hour),0.49,LTU
2,Poverty rate (no unit),Income Inequality (no unit),0.87,LTU
3,Poverty rate (no unit),Employment Rate (no unit),0.69,LTU
4,Poverty rate (no unit),Hours worked per year (hours/year),-0.1,LTU
5,Poverty rate (no unit),Average Wage (USD),0.6,LTU
6,GDP per hours worked (USD/hour),Poverty rate (no unit),0.49,LTU
7,GDP per hours worked (USD/hour),GDP per hours worked (USD/hour),1.0,LTU
8,GDP per hours worked (USD/hour),Income Inequality (no unit),0.44,LTU
9,GDP per hours worked (USD/hour),Employment Rate (no unit),0.77,LTU
10,GDP per hours worked (USD/hour),Hours worked per year (hours/year),0.72,LTU
11,GDP per hours worked (USD/hour),Average Wage (USD),0.98,LTU
12,Income Inequality (no unit),Poverty rate (no unit),0.87,LTU
13,Income Inequality (no unit),GDP per hours worked (USD/hour),0.44,LTU
14,Income Inequality (no unit),Income Inequality (no unit),1.0,LTU
15,Income Inequality (no unit),Employment Rate (no unit),0.57,LTU
16,Income Inequality (no unit),Hours worked per year (hours/year),-0.18,LTU
17,Income Inequality (no unit),Average Wage (USD),0.44,LTU
18,Employment Rate (no unit),Poverty rate (no unit),0.69,LTU
19,Employment Rate (no unit),GDP per hours worked (USD/hour),0.77,LTU
20,Employment Rate (no unit),Income Inequality (no unit),0.57,LTU
21,Employment Rate (no unit),Employment Rate (no unit),1.0,LTU
22,Employment Rate (no unit),Hours worked per year (hours/year),-0.31,LTU
23,Employment Rate (no unit),Average Wage (USD),0.91,LTU
24,Hours worked per year (hours/year),Poverty rate (no unit),-0.1,LTU
25,Hours worked per year (hours/year),GDP per hours worked (USD/hour),0.72,LTU
26,Hours worked per year (hours/year),Income Inequality (no unit),-0.18,LTU
27,Hours worked per year (hours/year),Employment Rate (no unit),-0.31,LTU
28,Hours worked per year (hours/year),Hours worked per year (hours/year),1.0,LTU
29,Hours worked per year (hours/year),Average Wage (USD),0.69,LTU
30,Average Wage (USD),Poverty rate (no unit),0.6,LTU
31,Average Wage (USD),GDP per hours worked (USD/hour),0.98,LTU
32,Average Wage (USD),Income Inequality (no unit),0.44,LTU
33,Average Wage (USD),Employment Rate (no unit),0.91,LTU
34,Average Wage (USD),Hours worked per year (hours/year),0.69,LTU
35,Average Wage (USD),Average Wage (USD),1.0,LTU
