,LOCATION,Year,Poverty index (no unit),GDP per hours worked wage (USD/hour),Gini coefficient (no units),Employment rate (% of working age population)
0,AUT,2007,0.097,63.814049,0.284,69.875
1,AUT,2008,0.093,63.814456,0.28,70.825
2,AUT,2009,0.096,63.363388,0.289,70.325
3,AUT,2010,0.089,64.291488,0.28,70.775
4,AUT,2011,0.091,64.94796,0.281,71.1
5,AUT,2012,0.096,65.645538,0.276,71.425
6,AUT,2013,0.09,66.080679,0.28,71.4
7,AUT,2014,0.091,66.327394,0.274,71.075
8,AUT,2015,0.087,67.267651,0.275,71.1
9,AUT,2016,0.098,67.184974,0.284,71.55
10,AUT,2017,0.094,67.999464,0.275,72.2
11,AUT,2018,0.094,68.360281,0.28,73.025
12,AUT,2019,0.1,68.276785,0.274,73.525
13,BEL,2018,0.082,71.700122,0.258,64.45
14,BEL,2019,0.081,72.2193,0.262,65.3
15,CZE,2004,0.058,31.147574,0.267,64.175
16,CZE,2005,0.055,32.765277,0.261,64.8
17,CZE,2006,0.056,34.781571,0.26,65.275
18,CZE,2007,0.055,36.256014,0.256,66.075
19,CZE,2008,0.059,36.139167,0.259,66.55
20,CZE,2009,0.06,35.303035,0.257,65.375
21,CZE,2010,0.065,36.128328,0.26,64.975
22,CZE,2011,0.059,36.734795,0.257,65.725
23,CZE,2012,0.052,36.886973,0.254,66.55
24,CZE,2013,0.059,37.004724,0.259,67.725
25,CZE,2014,0.059,37.432375,0.257,68.975
26,CZE,2015,0.064,39.390083,0.258,70.225
27,CZE,2016,0.056,39.251558,0.253,71.95
28,CZE,2017,0.056,40.595969,0.249,73.625
29,CZE,2018,0.061,41.152718,0.249,74.825
30,CZE,2019,0.056,42.263727,0.248,75.125
31,DNK,2011,0.058,66.165566,0.251,71.625
32,DNK,2012,0.054,67.430176,0.249,71.025
33,DNK,2013,0.054,67.960405,0.254,70.775
34,DNK,2014,0.055,69.036988,0.256,71.1
35,DNK,2015,0.055,70.022816,0.263,71.975
36,DNK,2016,0.058,70.856515,0.261,72.675
37,DNK,2017,0.061,72.180878,0.264,73.225
38,DNK,2018,0.064,73.769587,0.263,74.125
39,FIN,1987,0.052,33.730281,0.209,NaN
40,FIN,1988,0.056,35.290565,0.213,NaN
41,FIN,1989,0.057,36.666578,0.217,NaN
42,FIN,1990,0.056,37.54624,0.215,NaN
43,FIN,1991,0.054,37.838024,0.212,NaN
44,FIN,1992,0.05,39.207823,0.211,NaN
45,FIN,1993,0.042,41.346917,0.214,NaN
46,FIN,1994,0.042,43.178352,0.215,NaN
47,FIN,1995,0.042,43.940799,0.22,NaN
48,FIN,1996,0.046,44.848465,0.224,NaN
49,FIN,1997,0.048,46.233053,0.235,NaN
50,FIN,1998,0.05,48.089855,0.243,64.05
51,FIN,1999,0.052,49.182399,0.25,66.275
52,FIN,2000,0.053,51.309839,0.254,67.15
53,FIN,2001,0.063,52.287908,0.262,68.125
54,FIN,2002,0.062,52.788651,0.258,68.075
55,FIN,2003,0.056,53.884684,0.261,67.7
56,FIN,2004,0.065,55.707489,0.266,67.65
57,FIN,2005,0.066,56.779062,0.265,68.375
58,FIN,2006,0.069,58.155532,0.268,69.35
59,FIN,2007,0.078,60.024417,0.269,70.3
60,FIN,2008,0.079,59.322583,0.264,71.05
61,FIN,2009,0.074,56.695101,0.259,67.9
62,FIN,2010,0.072,58.669818,0.264,67.15
63,FIN,2011,0.075,59.482446,0.264,68.0
64,FIN,2012,0.065,58.526417,0.26,68.45
65,FIN,2013,0.071,58.741949,0.262,68.075
66,FIN,2014,0.068,58.857955,0.257,67.95
67,FIN,2015,0.063,59.336748,0.26,67.55
68,FIN,2016,0.058,60.730655,0.259,68.225
69,FIN,2017,0.063,62.258937,0.266,69.075
70,FIN,2018,0.065,61.547286,0.269,71.15
71,FRA,2012,0.085,63.316137,0.305,64.375
72,FRA,2013,0.079,64.173601,0.291,64.375
73,FRA,2014,0.081,64.791079,0.293,64.525
74,FRA,2015,0.081,65.316731,0.295,64.7
75,FRA,2016,0.083,65.499243,0.291,65.0
76,FRA,2017,0.081,66.881126,0.292,65.55
77,FRA,2018,0.085,67.155153,0.301,66.15
78,FRA,2019,0.084,67.417144,0.292,66.375
79,DEU,2008,0.09,61.593702,0.285,70.1
80,DEU,2011,0.087,62.706421,0.291,71.775
81,DEU,2012,0.084,63.093299,0.289,72.05
82,DEU,2013,0.091,63.392823,0.292,72.525
83,DEU,2014,0.095,64.049842,0.289,72.8
84,DEU,2015,0.101,64.376152,0.293,73.0
85,DEU,2016,0.104,65.248665,0.294,73.675
86,DEU,2017,0.104,66.411797,0.289,74.25
87,DEU,2018,0.098,66.438174,0.289,74.9
88,GRC,2004,0.12,39.452811,0.333,59.075
89,GRC,2005,0.129,38.333434,0.345,59.625
90,GRC,2006,0.127,39.9746,0.337,60.55
91,GRC,2007,0.132,41.019547,0.329,60.875
92,GRC,2008,0.129,40.446927,0.328,61.425
93,GRC,2009,0.129,39.400232,0.33,60.675
94,GRC,2010,0.141,39.042632,0.336,58.85
95,GRC,2011,0.151,36.290422,0.333,54.85
96,GRC,2012,0.149,34.410406,0.338,50.425
97,GRC,2013,0.151,33.622669,0.342,48.475
98,GRC,2014,0.148,33.42498,0.339,49.225
99,GRC,2015,0.149,34.620332,0.34,50.7
100,GRC,2016,0.144,33.18184,0.333,51.775
101,GRC,2017,0.126,33.647617,0.319,53.225
102,GRC,2018,0.121,32.410775,0.306,54.525
103,GRC,2019,0.115,33.475251,0.308,56.125
104,HUN,2006,0.072,33.072538,0.264,57.35
105,HUN,2007,0.065,33.89389,0.257,57.025
106,HUN,2008,0.059,34.790217,0.246,56.4
107,HUN,2009,0.061,33.741979,0.241,57.2
108,HUN,2010,0.073,34.179123,0.266,57.05
109,HUN,2011,0.077,35.080159,0.269,57.55
110,HUN,2012,0.085,34.628284,0.279,58.625
111,HUN,2013,0.086,34.899918,0.286,60.125
112,HUN,2014,0.087,34.490434,0.281,63.65
113,HUN,2015,0.085,35.041117,0.284,65.85
114,HUN,2016,0.077,34.246099,0.28,68.525
115,HUN,2017,0.08,35.29112,0.289,70.175
116,HUN,2018,0.087,36.720453,0.28,71.4
117,HUN,2019,0.092,38.138306,0.286,72.225
118,IRL,2004,0.134,61.65624,0.323,66.275
119,IRL,2005,0.116,61.878739,0.324,67.625
120,IRL,2006,0.114,62.235474,0.316,68.675
121,IRL,2007,0.096,63.259955,0.304,71.725
122,IRL,2008,0.091,61.498228,0.295,69.65
123,IRL,2009,0.088,64.448589,0.312,63.625
124,IRL,2010,0.091,71.96792,0.298,60.95
125,IRL,2011,0.1,73.674205,0.307,60.025
126,IRL,2012,0.094,73.983774,0.31,59.9
127,IRL,2013,0.095,72.541196,0.312,61.75
128,IRL,2014,0.093,76.196282,0.298,63.125
129,IRL,2015,0.098,91.344744,0.298,64.7
130,IRL,2016,0.091,90.260453,0.309,66.425
131,IRL,2017,0.09,94.816963,0.295,67.575
132,IRL,2018,0.074,99.808717,0.292,68.475
133,ITA,2004,0.122,52.754499,0.331,57.725
134,ITA,2005,0.126,52.990201,0.324,57.575
135,ITA,2006,0.123,52.873541,0.324,58.325
136,ITA,2007,0.119,52.833352,0.313,58.575
137,ITA,2008,0.119,52.532095,0.317,58.65
138,ITA,2009,0.12,51.485627,0.315,56.9
139,ITA,2010,0.134,52.656139,0.327,56.25
140,ITA,2011,0.128,53.011615,0.327,56.35
141,ITA,2012,0.13,52.728249,0.33,56.075
142,ITA,2013,0.133,53.147359,0.325,54.95
143,ITA,2014,0.137,53.189636,0.326,55.275
144,ITA,2015,0.144,53.221214,0.333,56.025
145,ITA,2016,0.137,53.057615,0.327,57.05
146,ITA,2017,0.139,53.399887,0.334,57.875
147,ITA,2018,0.142,53.393274,0.33,58.5
148,LUX,2015,0.109,99.777819,0.306,66.15
149,LUX,2016,0.111,101.763319,0.305,65.575
150,LUX,2017,0.122,100.25682,0.327,66.275
151,LUX,2018,0.114,98.602591,0.318,67.1
152,LUX,2019,0.105,98.573992,0.305,67.95
153,NLD,2011,0.072,66.274742,0.294,75.7
154,NLD,2012,0.074,66.176095,0.293,75.9
155,NLD,2013,0.078,66.678971,0.287,75.1
156,NLD,2014,0.077,67.172705,0.305,74.65
157,NLD,2015,0.077,67.832959,0.305,75.65
158,NLD,2016,0.081,67.727181,0.292,76.375
159,NLD,2017,0.079,68.095551,0.298,77.375
160,NLD,2018,0.078,67.876916,0.295,78.7
161,NLD,2019,0.082,67.760713,0.296,79.7
162,POL,2005,0.124,26.785275,0.327,52.775
163,POL,2006,0.11,27.626061,0.315,54.45
164,POL,2007,0.096,28.304503,0.315,57.025
165,POL,2008,0.107,28.474998,0.307,59.225
166,POL,2009,0.108,29.36572,0.303,57.175
167,POL,2010,0.107,31.346088,0.304,56.975
168,POL,2011,0.106,32.81389,0.301,57.45
169,POL,2012,0.104,33.210826,0.298,58.0
170,POL,2013,0.106,33.701293,0.299,58.425
171,POL,2014,0.104,34.154157,0.297,60.2
172,POL,2015,0.111,34.314904,0.291,61.6
173,POL,2016,0.103,35.702255,0.285,63.45
174,POL,2017,0.096,37.402839,0.275,65.25
175,POL,2018,0.098,39.697197,0.281,66.675
176,PRT,2004,0.132,34.873034,0.383,67.65
177,PRT,2005,0.126,35.267262,0.378,67.3
178,PRT,2006,0.124,35.925218,0.368,67.625
179,PRT,2007,0.128,36.484824,0.36,67.6
180,PRT,2008,0.113,36.718742,0.354,68.025
181,PRT,2009,0.116,36.568904,0.336,62.975
182,PRT,2010,0.109,37.676862,0.341,62.25
183,PRT,2011,0.114,38.253287,0.337,61.85
184,PRT,2012,0.13,38.624047,0.337,59.325
185,PRT,2013,0.135,39.167282,0.341,58.825
186,PRT,2014,0.135,38.770072,0.338,61.2
187,PRT,2015,0.125,38.765602,0.336,62.8
188,PRT,2016,0.125,38.80674,0.331,64.225
189,PRT,2017,0.107,39.115124,0.32,66.95
190,PRT,2018,0.104,39.068634,0.317,69.025
191,PRT,2019,0.106,39.642999,0.31,69.85
192,SVK,2004,0.083,29.479993,0.267,56.975
193,SVK,2005,0.072,30.452689,0.289,57.7
194,SVK,2006,0.065,32.274833,0.251,59.425
195,SVK,2007,0.069,34.710742,0.246,60.7
196,SVK,2008,0.072,35.458834,0.257,62.25
197,SVK,2009,0.079,34.443626,0.267,61.85
198,SVK,2010,0.08,36.662848,0.265,60.425
199,SVK,2011,0.082,37.224208,0.262,61.0
200,SVK,2012,0.085,37.794361,0.251,61.375
201,SVK,2013,0.085,38.717119,0.27,61.575
202,SVK,2014,0.088,39.486602,0.247,62.7
203,SVK,2015,0.085,40.869041,0.25,64.525
204,SVK,2016,0.085,41.019355,0.241,66.7
205,SVK,2017,0.073,41.962499,0.22,68.075
206,SVK,2018,0.077,42.94424,0.236,69.55
207,SVK,2019,0.078,43.915066,0.222,70.425
208,ESP,2007,0.144,46.335693,0.313,65.8
209,ESP,2008,0.146,46.455022,0.327,64.475
210,ESP,2009,0.148,47.574562,0.333,59.95
211,ESP,2010,0.139,48.783989,0.339,58.85
212,ESP,2011,0.147,49.504172,0.341,58.025
213,ESP,2012,0.141,50.45889,0.334,55.75
214,ESP,2013,0.159,51.186839,0.345,54.825
215,ESP,2014,0.153,51.339305,0.343,56.0
216,ESP,2015,0.153,51.745407,0.344,57.8
217,ESP,2016,0.156,51.978712,0.341,59.55
218,ESP,2017,0.148,52.431783,0.333,61.1
219,ESP,2018,0.142,52.314162,0.33,62.4
220,ESP,2019,0.147,52.401553,0.32,63.3
221,SWE,2013,0.086,65.583048,0.268,73.95
222,SWE,2014,0.09,66.351351,0.274,74.425
223,SWE,2015,0.092,68.27252,0.278,75.025
224,SWE,2016,0.091,67.864029,0.282,75.725
225,SWE,2017,0.093,68.496433,0.282,76.325
226,SWE,2018,0.089,68.72116,0.275,76.85
227,SWE,2019,0.093,70.343745,0.28,76.575
228,EST,2013,0.158,34.255974,0.356,69.175
229,EST,2014,0.157,35.138109,0.346,70.225
230,EST,2015,0.16,34.947358,0.33,72.075
231,EST,2016,0.158,35.864899,0.314,72.4
232,EST,2017,0.158,36.927656,0.309,74.5
233,EST,2018,0.163,39.076217,0.305,75.05
234,EST,2019,0.149,40.473334,0.305,75.55
235,SVN,2004,0.079,34.599443,0.241,65.275
236,SVN,2005,0.071,36.938074,0.24,65.95
237,SVN,2006,0.074,39.128271,0.237,66.55
238,SVN,2007,0.079,40.808356,0.238,67.75
239,SVN,2008,0.079,40.752803,0.234,68.575
240,SVN,2009,0.083,38.181149,0.245,67.075
241,SVN,2010,0.091,39.491962,0.245,65.525
242,SVN,2011,0.086,40.925467,0.243,63.825
243,SVN,2012,0.095,40.691154,0.249,63.575
244,SVN,2013,0.095,40.292879,0.254,62.775
245,SVN,2014,0.093,40.753894,0.251,63.4
246,SVN,2015,0.092,40.981064,0.25,64.65
247,SVN,2016,0.086,42.404997,0.244,65.325
248,SVN,2017,0.085,44.000646,0.243,68.725
249,SVN,2018,0.075,45.1561,0.249,70.55
250,SVN,2019,0.074,45.42766,0.246,71.275
251,LVA,2004,0.142,24.43295,0.364,61.025
252,LVA,2005,0.176,26.442685,0.391,62.15
253,LVA,2006,0.146,27.961343,0.35,65.9
254,LVA,2007,0.186,30.061651,0.375,68.125
255,LVA,2008,0.191,27.525735,0.375,68.225
256,LVA,2009,0.141,28.267079,0.354,60.05
257,LVA,2010,0.133,29.187427,0.346,58.2
258,LVA,2011,0.129,29.23211,0.351,60.575
259,LVA,2012,0.133,31.115666,0.346,62.775
260,LVA,2013,0.145,31.137564,0.351,64.85
261,LVA,2014,0.164,31.992581,0.349,66.125
262,LVA,2015,0.162,33.403752,0.346,68.05
263,LVA,2016,0.167,34.278257,0.346,68.575
264,LVA,2017,0.166,35.726824,0.355,69.975
265,LVA,2018,0.175,36.376781,0.351,71.725
266,LVA,2019,0.162,38.000804,0.344,72.225
267,LTU,2004,0.137,26.015947,0.349,NaN
268,LTU,2005,0.145,27.815226,0.352,62.85
269,LTU,2006,0.136,30.039651,0.328,63.625
270,LTU,2007,0.132,32.198426,0.337,65.0
271,LTU,2008,0.146,32.963896,0.357,64.4
272,LTU,2009,0.15,31.54323,0.365,59.875
273,LTU,2010,0.127,32.830639,0.329,57.55
274,LTU,2011,0.126,35.09795,0.321,60.2
275,LTU,2012,0.143,35.814127,0.35,62.025
276,LTU,2013,0.124,36.91694,0.351,63.725
277,LTU,2014,0.157,37.615436,0.38,65.65
278,LTU,2015,0.165,37.326012,0.372,67.25
279,LTU,2016,0.168,36.953394,0.378,69.375
280,LTU,2017,0.173,39.682168,0.374,70.375
281,LTU,2018,0.155,40.536245,0.361,72.4
282,LTU,2019,0.154,42.122569,0.357,72.975
283,AUT,1995,NaN,51.105772,NaN,NaN
284,AUT,1996,NaN,51.175266,NaN,NaN
285,AUT,1997,NaN,51.62205,NaN,NaN
286,AUT,1998,NaN,53.568424,NaN,NaN
287,AUT,1999,NaN,54.513967,NaN,68.525
288,AUT,2000,NaN,55.825179,NaN,68.5
289,AUT,2001,NaN,56.533555,NaN,68.375
290,AUT,2002,NaN,57.591558,NaN,68.75
291,AUT,2003,NaN,58.071618,NaN,68.95
292,AUT,2004,NaN,59.181589,NaN,66.525
293,AUT,2005,NaN,60.63234,NaN,67.4
294,AUT,2006,NaN,62.218785,NaN,68.575
295,AUT,2020,NaN,69.760137,NaN,71.725
296,BEL,1970,NaN,27.497166,NaN,NaN
297,BEL,1971,NaN,28.485856,NaN,NaN
298,BEL,1972,NaN,30.468756,NaN,NaN
299,BEL,1973,NaN,32.532014,NaN,NaN
300,BEL,1974,NaN,33.924965,NaN,NaN
301,BEL,1975,NaN,34.141031,NaN,NaN
302,BEL,1976,NaN,36.207479,NaN,NaN
303,BEL,1977,NaN,37.115528,NaN,NaN
304,BEL,1978,NaN,38.507129,NaN,NaN
305,BEL,1979,NaN,39.422417,NaN,NaN
306,BEL,1980,NaN,41.729091,NaN,NaN
307,BEL,1981,NaN,42.974937,NaN,NaN
308,BEL,1982,NaN,44.17632,NaN,NaN
309,BEL,1983,NaN,44.7383,NaN,NaN
310,BEL,1984,NaN,45.213096,NaN,NaN
311,BEL,1985,NaN,45.575369,NaN,NaN
312,BEL,1986,NaN,46.657876,NaN,NaN
313,BEL,1987,NaN,47.821332,NaN,NaN
314,BEL,1988,NaN,49.479833,NaN,NaN
315,BEL,1989,NaN,50.695138,NaN,NaN
316,BEL,1990,NaN,51.285906,NaN,NaN
317,BEL,1991,NaN,53.247397,NaN,NaN
318,BEL,1992,NaN,54.911491,NaN,NaN
319,BEL,1993,NaN,56.284298,NaN,NaN
320,BEL,1994,NaN,58.348072,NaN,NaN
321,BEL,1995,NaN,58.593596,NaN,NaN
322,BEL,1996,NaN,59.324556,NaN,NaN
323,BEL,1997,NaN,60.888272,NaN,NaN
324,BEL,1998,NaN,61.322735,NaN,NaN
325,BEL,1999,NaN,62.591788,NaN,59.3
326,BEL,2000,NaN,63.08917,NaN,60.525
327,BEL,2001,NaN,63.233672,NaN,59.95
328,BEL,2002,NaN,63.667303,NaN,59.9
329,BEL,2003,NaN,64.204011,NaN,59.6
330,BEL,2004,NaN,66.278551,NaN,60.35
331,BEL,2005,NaN,67.287921,NaN,61.075
332,BEL,2006,NaN,67.637137,NaN,61.0
333,BEL,2007,NaN,68.887444,NaN,62.025
334,BEL,2008,NaN,68.464336,NaN,62.4
335,BEL,2009,NaN,68.020751,NaN,61.6
336,BEL,2010,NaN,69.053627,NaN,62.025
337,BEL,2011,NaN,68.581978,NaN,61.925
338,BEL,2012,NaN,68.923207,NaN,61.825
339,BEL,2013,NaN,69.517696,NaN,61.8
340,BEL,2014,NaN,70.513657,NaN,61.9
341,BEL,2015,NaN,71.604653,NaN,61.8
342,BEL,2016,NaN,71.674769,NaN,62.3
343,BEL,2017,NaN,71.534022,NaN,63.125
344,BEL,2020,NaN,74.487852,NaN,64.45
345,CZE,1993,NaN,21.584056,NaN,NaN
346,CZE,1994,NaN,22.182228,NaN,NaN
347,CZE,1995,NaN,23.555989,NaN,NaN
348,CZE,1996,NaN,24.464831,NaN,NaN
349,CZE,1997,NaN,24.396092,NaN,NaN
350,CZE,1998,NaN,24.433029,NaN,67.325
351,CZE,1999,NaN,24.918613,NaN,65.625
352,CZE,2000,NaN,25.998047,NaN,64.975
353,CZE,2001,NaN,27.994158,NaN,65.025
354,CZE,2002,NaN,28.429678,NaN,65.425
355,CZE,2003,NaN,29.901424,NaN,64.725
356,CZE,2020,NaN,42.444763,NaN,74.4
357,CZE,2021,NaN,42.573113,NaN,74.4
358,DNK,1970,NaN,27.472263,NaN,NaN
359,DNK,1971,NaN,28.866758,NaN,NaN
360,DNK,1972,NaN,30.399818,NaN,NaN
361,DNK,1973,NaN,32.058011,NaN,NaN
362,DNK,1974,NaN,32.263526,NaN,NaN
363,DNK,1975,NaN,33.589438,NaN,NaN
364,DNK,1976,NaN,34.830328,NaN,NaN
365,DNK,1977,NaN,36.121419,NaN,NaN
366,DNK,1978,NaN,37.157283,NaN,NaN
367,DNK,1979,NaN,38.436488,NaN,NaN
368,DNK,1980,NaN,38.140141,NaN,NaN
369,DNK,1981,NaN,39.262832,NaN,NaN
370,DNK,1982,NaN,40.358549,NaN,NaN
371,DNK,1983,NaN,41.560958,NaN,NaN
372,DNK,1984,NaN,42.8173,NaN,NaN
373,DNK,1985,NaN,43.900178,NaN,NaN
374,DNK,1986,NaN,44.851916,NaN,NaN
375,DNK,1987,NaN,45.762837,NaN,NaN
376,DNK,1988,NaN,46.660917,NaN,NaN
377,DNK,1989,NaN,47.63771,NaN,NaN
378,DNK,1990,NaN,49.031726,NaN,NaN
379,DNK,1991,NaN,50.313361,NaN,NaN
380,DNK,1992,NaN,51.179633,NaN,NaN
381,DNK,1993,NaN,52.15734,NaN,NaN
382,DNK,1994,NaN,55.487238,NaN,NaN
383,DNK,1995,NaN,56.312932,NaN,NaN
384,DNK,1996,NaN,57.655533,NaN,NaN
385,DNK,1997,NaN,58.073442,NaN,NaN
386,DNK,1998,NaN,58.006556,NaN,NaN
387,DNK,1999,NaN,58.597376,NaN,76.05
388,DNK,2000,NaN,59.954667,NaN,76.25
389,DNK,2001,NaN,59.743007,NaN,76.2
390,DNK,2002,NaN,60.234191,NaN,75.875
391,DNK,2003,NaN,61.228274,NaN,75.125
392,DNK,2004,NaN,63.183454,NaN,75.675
393,DNK,2005,NaN,64.048343,NaN,75.9
394,DNK,2006,NaN,64.892447,NaN,77.375
395,DNK,2007,NaN,65.012119,NaN,77.0
396,DNK,2008,NaN,64.044269,NaN,76.325
397,DNK,2009,NaN,63.453957,NaN,73.525
398,DNK,2010,NaN,65.937261,NaN,71.8
399,DNK,2019,NaN,74.832812,NaN,75.0
400,DNK,2020,NaN,75.406175,NaN,74.425
401,FIN,1970,NaN,17.891602,NaN,NaN
402,FIN,1971,NaN,18.769753,NaN,NaN
403,FIN,1972,NaN,20.19845,NaN,NaN
404,FIN,1973,NaN,21.394049,NaN,NaN
405,FIN,1974,NaN,22.072285,NaN,NaN
406,FIN,1975,NaN,23.448613,NaN,NaN
407,FIN,1976,NaN,23.786178,NaN,NaN
408,FIN,1977,NaN,24.380215,NaN,NaN
409,FIN,1978,NaN,25.257122,NaN,NaN
410,FIN,1979,NaN,26.824261,NaN,NaN
411,FIN,1980,NaN,27.771568,NaN,NaN
412,FIN,1981,NaN,27.779305,NaN,NaN
413,FIN,1982,NaN,28.581813,NaN,NaN
414,FIN,1983,NaN,29.73621,NaN,NaN
415,FIN,1984,NaN,30.670306,NaN,NaN
416,FIN,1985,NaN,31.718514,NaN,NaN
417,FIN,1986,NaN,33.029039,NaN,NaN
418,FIN,2019,NaN,61.454045,NaN,72.0
419,FIN,2020,NaN,61.518782,NaN,71.175
420,FRA,1970,NaN,23.895838,NaN,NaN
421,FRA,1971,NaN,25.08375,NaN,NaN
422,FRA,1972,NaN,26.770467,NaN,NaN
423,FRA,1973,NaN,28.316172,NaN,NaN
424,FRA,1974,NaN,29.760027,NaN,NaN
425,FRA,1975,NaN,30.117225,NaN,NaN
426,FRA,1976,NaN,30.736344,NaN,NaN
427,FRA,1977,NaN,32.177911,NaN,NaN
