,LOCATION,Year,Poverty index (no unit),GDP per hours worked wage (USD/hour),Gini coefficient (no units),Employment rate (% of working age population)
428,FRA,1978,NaN,33.831663,NaN,NaN
429,FRA,1979,NaN,34.864781,NaN,NaN
430,FRA,1980,NaN,35.437723,NaN,NaN
431,FRA,1981,NaN,36.265538,NaN,NaN
432,FRA,1982,NaN,38.617471,NaN,NaN
433,FRA,1983,NaN,39.556884,NaN,NaN
434,FRA,1984,NaN,40.521273,NaN,NaN
435,FRA,1985,NaN,42.149867,NaN,NaN
436,FRA,1986,NaN,43.080524,NaN,NaN
437,FRA,1987,NaN,43.50535,NaN,NaN
438,FRA,1988,NaN,44.910327,NaN,NaN
439,FRA,1989,NaN,46.511042,NaN,NaN
440,FRA,1990,NaN,47.626606,NaN,NaN
441,FRA,1991,NaN,48.223343,NaN,NaN
442,FRA,1992,NaN,49.384037,NaN,NaN
443,FRA,1993,NaN,49.843589,NaN,NaN
444,FRA,1994,NaN,50.872062,NaN,NaN
445,FRA,1995,NaN,52.137055,NaN,NaN
446,FRA,1996,NaN,52.705155,NaN,NaN
447,FRA,1997,NaN,53.577234,NaN,NaN
448,FRA,1998,NaN,54.902497,NaN,NaN
449,FRA,1999,NaN,55.693666,NaN,NaN
450,FRA,2000,NaN,57.168797,NaN,NaN
451,FRA,2001,NaN,58.238429,NaN,NaN
452,FRA,2002,NaN,59.938668,NaN,NaN
453,FRA,2003,NaN,60.280773,NaN,64.425
454,FRA,2004,NaN,60.946954,NaN,64.225
455,FRA,2005,NaN,61.487911,NaN,64.15
456,FRA,2006,NaN,63.018745,NaN,64.15
457,FRA,2007,NaN,62.723395,NaN,64.725
458,FRA,2008,NaN,62.323215,NaN,65.3
459,FRA,2009,NaN,61.685771,NaN,64.425
460,FRA,2010,NaN,62.484285,NaN,64.375
461,FRA,2011,NaN,63.109941,NaN,64.3
462,FRA,2020,NaN,67.655544,NaN,66.1
463,FRA,2021,NaN,67.113151,NaN,67.25
464,DEU,1970,NaN,24.997145,NaN,NaN
465,DEU,1971,NaN,26.088089,NaN,NaN
466,DEU,1972,NaN,27.388072,NaN,NaN
467,DEU,1973,NaN,28.785134,NaN,NaN
468,DEU,1974,NaN,29.947238,NaN,NaN
469,DEU,1975,NaN,31.074,NaN,NaN
470,DEU,1976,NaN,32.522757,NaN,NaN
471,DEU,1977,NaN,33.862079,NaN,NaN
472,DEU,1978,NaN,34.907447,NaN,NaN
473,DEU,1979,NaN,35.906958,NaN,NaN
474,DEU,1980,NaN,36.209255,NaN,NaN
475,DEU,1981,NaN,36.81123,NaN,NaN
476,DEU,1982,NaN,37.192097,NaN,NaN
477,DEU,1983,NaN,38.412381,NaN,NaN
478,DEU,1984,NaN,39.426925,NaN,NaN
479,DEU,1985,NaN,40.336667,NaN,NaN
480,DEU,1986,NaN,40.947861,NaN,NaN
481,DEU,1987,NaN,41.507998,NaN,NaN
482,DEU,1988,NaN,42.578714,NaN,NaN
483,DEU,1989,NaN,44.060484,NaN,NaN
484,DEU,1990,NaN,45.617388,NaN,NaN
485,DEU,1991,NaN,47.203373,NaN,NaN
486,DEU,1992,NaN,48.408308,NaN,NaN
487,DEU,1993,NaN,49.35082,NaN,NaN
488,DEU,1994,NaN,50.628,NaN,NaN
489,DEU,1995,NaN,51.390581,NaN,NaN
490,DEU,1996,NaN,52.255597,NaN,NaN
491,DEU,1997,NaN,53.53631,NaN,NaN
492,DEU,1998,NaN,54.081496,NaN,NaN
493,DEU,1999,NaN,54.695538,NaN,NaN
494,DEU,2000,NaN,56.051436,NaN,NaN
495,DEU,2001,NaN,57.4591,NaN,NaN
496,DEU,2002,NaN,57.991792,NaN,NaN
497,DEU,2003,NaN,58.437853,NaN,NaN
498,DEU,2004,NaN,58.970058,NaN,NaN
499,DEU,2005,NaN,59.900695,NaN,65.45
500,DEU,2006,NaN,60.858653,NaN,67.15
501,DEU,2007,NaN,61.577685,NaN,68.975
502,DEU,2009,NaN,59.739676,NaN,69.375
503,DEU,2010,NaN,61.116778,NaN,70.3
504,DEU,2019,NaN,66.682355,NaN,75.65
505,DEU,2020,NaN,66.937949,NaN,76.15579
506,DEU,2021,NaN,67.558698,NaN,75.775
507,GRC,1983,NaN,26.77867,NaN,NaN
508,GRC,1984,NaN,28.323496,NaN,NaN
509,GRC,1985,NaN,28.083133,NaN,NaN
510,GRC,1986,NaN,28.286112,NaN,NaN
511,GRC,1987,NaN,28.249824,NaN,NaN
512,GRC,1988,NaN,29.140711,NaN,NaN
513,GRC,1989,NaN,29.53317,NaN,NaN
514,GRC,1990,NaN,29.461007,NaN,NaN
515,GRC,1991,NaN,30.471233,NaN,NaN
516,GRC,1992,NaN,29.861671,NaN,NaN
517,GRC,1993,NaN,28.857861,NaN,NaN
518,GRC,1994,NaN,29.3672,NaN,NaN
519,GRC,1995,NaN,29.968877,NaN,NaN
520,GRC,1996,NaN,31.018777,NaN,NaN
521,GRC,1997,NaN,32.570105,NaN,NaN
522,GRC,1998,NaN,32.398392,NaN,55.975
523,GRC,1999,NaN,33.449735,NaN,55.9
524,GRC,2000,NaN,34.595292,NaN,56.45
525,GRC,2001,NaN,36.002957,NaN,56.325
526,GRC,2002,NaN,36.668949,NaN,57.375
527,GRC,2003,NaN,38.283271,NaN,58.5
528,GRC,2020,NaN,34.262803,NaN,53.675
529,HUN,1991,NaN,16.709361,NaN,NaN
530,HUN,1992,NaN,18.085615,NaN,NaN
531,HUN,1993,NaN,19.18435,NaN,NaN
532,HUN,1994,NaN,18.828924,NaN,NaN
533,HUN,1995,NaN,21.758345,NaN,NaN
534,HUN,1996,NaN,21.841212,NaN,NaN
535,HUN,1997,NaN,22.206701,NaN,NaN
536,HUN,1998,NaN,22.974597,NaN,NaN
537,HUN,1999,NaN,23.133427,NaN,55.55
538,HUN,2000,NaN,24.269494,NaN,56.225
539,HUN,2001,NaN,25.669038,NaN,56.2
540,HUN,2002,NaN,27.129321,NaN,56.225
541,HUN,2003,NaN,28.111433,NaN,57.025
542,HUN,2004,NaN,29.798399,NaN,56.75
543,HUN,2005,NaN,31.723352,NaN,56.9
544,HUN,2020,NaN,39.28036,NaN,71.95
545,HUN,2021,NaN,39.133986,NaN,73.075
546,IRL,1970,NaN,15.537211,NaN,NaN
547,IRL,1971,NaN,16.010355,NaN,NaN
548,IRL,1972,NaN,17.413104,NaN,NaN
549,IRL,1973,NaN,18.07774,NaN,NaN
550,IRL,1974,NaN,18.887292,NaN,NaN
551,IRL,1975,NaN,20.201159,NaN,NaN
552,IRL,1976,NaN,20.718599,NaN,NaN
553,IRL,1977,NaN,22.021204,NaN,NaN
554,IRL,1978,NaN,23.554185,NaN,NaN
555,IRL,1979,NaN,23.330179,NaN,NaN
556,IRL,1980,NaN,24.719989,NaN,NaN
557,IRL,1981,NaN,26.001971,NaN,NaN
558,IRL,1982,NaN,26.796167,NaN,NaN
559,IRL,1983,NaN,27.100678,NaN,NaN
560,IRL,1984,NaN,29.062939,NaN,NaN
561,IRL,1985,NaN,29.988647,NaN,NaN
562,IRL,1986,NaN,29.549105,NaN,NaN
563,IRL,1987,NaN,31.049471,NaN,NaN
564,IRL,1988,NaN,32.526546,NaN,NaN
565,IRL,1989,NaN,34.337223,NaN,NaN
566,IRL,1990,NaN,35.880888,NaN,NaN
567,IRL,1991,NaN,37.322428,NaN,NaN
568,IRL,1992,NaN,39.193069,NaN,NaN
569,IRL,1993,NaN,40.183005,NaN,NaN
570,IRL,1994,NaN,41.157405,NaN,NaN
571,IRL,1995,NaN,43.185972,NaN,NaN
572,IRL,1996,NaN,44.912418,NaN,NaN
573,IRL,1997,NaN,47.969646,NaN,NaN
574,IRL,1998,NaN,48.971985,NaN,NaN
575,IRL,1999,NaN,51.131435,NaN,NaN
576,IRL,2000,NaN,53.79148,NaN,65.15
577,IRL,2001,NaN,55.197634,NaN,65.825
578,IRL,2002,NaN,58.128995,NaN,65.45
579,IRL,2003,NaN,59.332231,NaN,65.5
580,IRL,2019,NaN,102.388449,NaN,69.45
581,IRL,2020,NaN,111.837194,NaN,66.55
582,IRL,2021,NaN,119.965149,NaN,NaN
583,ITA,1970,NaN,25.305962,NaN,NaN
584,ITA,1971,NaN,26.437245,NaN,NaN
585,ITA,1972,NaN,27.746945,NaN,NaN
586,ITA,1973,NaN,29.55267,NaN,NaN
587,ITA,1974,NaN,31.189027,NaN,NaN
588,ITA,1975,NaN,30.761898,NaN,NaN
589,ITA,1976,NaN,32.659556,NaN,NaN
590,ITA,1977,NaN,34.014961,NaN,NaN
591,ITA,1978,NaN,35.189797,NaN,NaN
592,ITA,1979,NaN,37.006682,NaN,NaN
593,ITA,1980,NaN,37.709445,NaN,NaN
594,ITA,1981,NaN,37.930318,NaN,NaN
595,ITA,1982,NaN,37.77805,NaN,NaN
596,ITA,1983,NaN,38.111703,NaN,NaN
597,ITA,1984,NaN,39.562281,NaN,NaN
598,ITA,1985,NaN,40.363743,NaN,NaN
599,ITA,1986,NaN,41.048174,NaN,NaN
600,ITA,1987,NaN,41.833545,NaN,NaN
601,ITA,1988,NaN,43.041769,NaN,NaN
602,ITA,1989,NaN,44.572499,NaN,NaN
603,ITA,1990,NaN,45.001814,NaN,NaN
604,ITA,1991,NaN,45.022633,NaN,NaN
605,ITA,1992,NaN,45.652707,NaN,NaN
606,ITA,1993,NaN,46.516213,NaN,NaN
607,ITA,1994,NaN,48.470113,NaN,NaN
608,ITA,1995,NaN,49.907066,NaN,NaN
609,ITA,1996,NaN,49.964089,NaN,NaN
610,ITA,1997,NaN,50.886196,NaN,NaN
611,ITA,1998,NaN,50.921112,NaN,51.925
612,ITA,1999,NaN,51.279218,NaN,52.675
613,ITA,2000,NaN,52.751834,NaN,53.7
614,ITA,2001,NaN,53.105591,NaN,54.8
615,ITA,2002,NaN,52.689151,NaN,55.55
616,ITA,2003,NaN,52.31578,NaN,56.1
617,ITA,2019,NaN,53.667651,NaN,59.05
618,ITA,2020,NaN,54.878829,NaN,57.45
619,ITA,2021,NaN,54.170307,NaN,58.25
620,LUX,1970,NaN,46.34691,NaN,NaN
621,LUX,1971,NaN,46.191178,NaN,NaN
622,LUX,1972,NaN,48.488393,NaN,NaN
623,LUX,1973,NaN,52.389258,NaN,NaN
624,LUX,1974,NaN,53.828135,NaN,NaN
625,LUX,1975,NaN,50.472484,NaN,NaN
626,LUX,1976,NaN,51.33199,NaN,NaN
627,LUX,1977,NaN,52.926793,NaN,NaN
628,LUX,1978,NaN,55.969247,NaN,NaN
629,LUX,1979,NaN,57.547685,NaN,NaN
630,LUX,1980,NaN,58.183288,NaN,NaN
631,LUX,1981,NaN,58.524015,NaN,NaN
632,LUX,1982,NaN,59.973709,NaN,NaN
633,LUX,1983,NaN,62.175483,NaN,NaN
634,LUX,1984,NaN,66.197945,NaN,NaN
635,LUX,1985,NaN,66.845557,NaN,NaN
636,LUX,1986,NaN,72.187116,NaN,NaN
637,LUX,1987,NaN,73.127734,NaN,NaN
638,LUX,1988,NaN,76.060635,NaN,NaN
639,LUX,1989,NaN,81.277089,NaN,NaN
640,LUX,1990,NaN,82.14235,NaN,NaN
641,LUX,1991,NaN,86.739651,NaN,NaN
642,LUX,1992,NaN,87.073564,NaN,NaN
643,LUX,1993,NaN,88.780059,NaN,NaN
644,LUX,1994,NaN,90.948597,NaN,NaN
645,LUX,1995,NaN,89.29036,NaN,NaN
646,LUX,1996,NaN,89.521784,NaN,NaN
647,LUX,1997,NaN,90.955873,NaN,NaN
648,LUX,1998,NaN,93.057507,NaN,NaN
649,LUX,1999,NaN,96.297881,NaN,NaN
650,LUX,2000,NaN,97.459711,NaN,NaN
651,LUX,2001,NaN,95.733237,NaN,NaN
652,LUX,2002,NaN,96.465052,NaN,NaN
653,LUX,2003,NaN,97.170243,NaN,62.2
654,LUX,2004,NaN,98.973858,NaN,62.5
655,LUX,2005,NaN,99.957636,NaN,63.6
656,LUX,2006,NaN,102.035068,NaN,63.6
657,LUX,2007,NaN,104.743364,NaN,64.15
658,LUX,2008,NaN,99.685834,NaN,63.425
659,LUX,2009,NaN,99.484621,NaN,65.2
660,LUX,2010,NaN,101.160094,NaN,65.2
661,LUX,2011,NaN,99.378768,NaN,64.625
662,LUX,2012,NaN,98.989858,NaN,65.85
663,LUX,2013,NaN,100.800784,NaN,65.725
664,LUX,2014,NaN,100.550424,NaN,66.625
665,LUX,2020,NaN,100.861,NaN,67.25
666,LUX,2021,NaN,107.42966,NaN,NaN
667,NLD,1970,NaN,30.197071,NaN,NaN
668,NLD,1971,NaN,31.745281,NaN,NaN
669,NLD,1972,NaN,32.764277,NaN,NaN
670,NLD,1973,NaN,34.936802,NaN,NaN
671,NLD,1974,NaN,37.310879,NaN,NaN
672,NLD,1975,NaN,38.565128,NaN,NaN
673,NLD,1976,NaN,40.493105,NaN,NaN
674,NLD,1977,NaN,41.742758,NaN,NaN
675,NLD,1978,NaN,42.907563,NaN,NaN
676,NLD,1979,NaN,43.442551,NaN,NaN
677,NLD,1980,NaN,44.115423,NaN,NaN
678,NLD,1981,NaN,43.966274,NaN,NaN
679,NLD,1982,NaN,44.48092,NaN,NaN
680,NLD,1983,NaN,46.257534,NaN,NaN
681,NLD,1984,NaN,47.535747,NaN,NaN
682,NLD,1985,NaN,48.407746,NaN,NaN
683,NLD,1986,NaN,49.06844,NaN,NaN
684,NLD,1987,NaN,49.668798,NaN,NaN
685,NLD,1988,NaN,50.569019,NaN,NaN
686,NLD,1989,NaN,51.599894,NaN,NaN
687,NLD,1990,NaN,52.346308,NaN,NaN
688,NLD,1991,NaN,52.977604,NaN,NaN
689,NLD,1992,NaN,52.877723,NaN,NaN
690,NLD,1993,NaN,53.725864,NaN,NaN
691,NLD,1994,NaN,54.669954,NaN,NaN
692,NLD,1995,NaN,53.830722,NaN,NaN
693,NLD,1996,NaN,54.029715,NaN,NaN
694,NLD,1997,NaN,55.222705,NaN,NaN
695,NLD,1998,NaN,56.578693,NaN,NaN
696,NLD,1999,NaN,57.827451,NaN,NaN
697,NLD,2000,NaN,59.696492,NaN,72.95
698,NLD,2001,NaN,60.299505,NaN,74.125
699,NLD,2002,NaN,60.739628,NaN,74.4
700,NLD,2003,NaN,61.541637,NaN,73.65
701,NLD,2004,NaN,62.603024,NaN,73.125
702,NLD,2005,NaN,64.097939,NaN,70.625
703,NLD,2006,NaN,65.051296,NaN,71.575
704,NLD,2007,NaN,65.632495,NaN,73.45
705,NLD,2008,NaN,66.009294,NaN,74.925
706,NLD,2009,NaN,64.520326,NaN,76.175
707,NLD,2010,NaN,65.852731,NaN,75.45
708,NLD,2020,NaN,66.988588,NaN,79.3
709,NLD,2021,NaN,68.468131,NaN,80.15
710,POL,1993,NaN,14.578061,NaN,NaN
711,POL,1994,NaN,15.298607,NaN,NaN
712,POL,1995,NaN,16.531734,NaN,NaN
713,POL,1996,NaN,17.208247,NaN,NaN
714,POL,1997,NaN,18.108217,NaN,NaN
715,POL,1998,NaN,18.958022,NaN,NaN
716,POL,1999,NaN,21.182987,NaN,NaN
717,POL,2000,NaN,22.154027,NaN,54.975
718,POL,2001,NaN,23.114554,NaN,53.35
719,POL,2002,NaN,24.384977,NaN,51.475
720,POL,2003,NaN,25.411615,NaN,51.2
721,POL,2004,NaN,26.378876,NaN,51.65
722,POL,2019,NaN,41.688937,NaN,67.525
723,POL,2020,NaN,40.975613,NaN,67.8
724,PRT,1970,NaN,15.884268,NaN,NaN
725,PRT,1971,NaN,16.742211,NaN,NaN
726,PRT,1972,NaN,18.288099,NaN,NaN
727,PRT,1973,NaN,20.619838,NaN,NaN
728,PRT,1974,NaN,19.602583,NaN,NaN
729,PRT,1975,NaN,18.01865,NaN,NaN
730,PRT,1976,NaN,19.117042,NaN,NaN
731,PRT,1977,NaN,20.192174,NaN,NaN
732,PRT,1978,NaN,20.934742,NaN,NaN
733,PRT,1979,NaN,21.974077,NaN,NaN
734,PRT,1980,NaN,22.607184,NaN,NaN
735,PRT,1981,NaN,23.001586,NaN,NaN
736,PRT,1982,NaN,23.646247,NaN,NaN
737,PRT,1983,NaN,22.689251,NaN,NaN
738,PRT,1984,NaN,22.454542,NaN,NaN
739,PRT,1985,NaN,23.320772,NaN,NaN
740,PRT,1986,NaN,24.392544,NaN,NaN
741,PRT,1987,NaN,25.088153,NaN,NaN
742,PRT,1988,NaN,26.291719,NaN,NaN
743,PRT,1989,NaN,27.066936,NaN,NaN
744,PRT,1990,NaN,27.707487,NaN,NaN
745,PRT,1991,NaN,29.164906,NaN,NaN
746,PRT,1992,NaN,30.209877,NaN,NaN
747,PRT,1993,NaN,30.169923,NaN,NaN
748,PRT,1994,NaN,30.35293,NaN,NaN
749,PRT,1995,NaN,30.792879,NaN,NaN
750,PRT,1996,NaN,31.328764,NaN,NaN
751,PRT,1997,NaN,31.945256,NaN,NaN
752,PRT,1998,NaN,32.308401,NaN,66.825
753,PRT,1999,NaN,33.021921,NaN,67.525
754,PRT,2000,NaN,33.39192,NaN,68.375
755,PRT,2001,NaN,33.741433,NaN,69.0
756,PRT,2002,NaN,33.986751,NaN,68.775
757,PRT,2003,NaN,34.135504,NaN,68.0
758,PRT,2020,NaN,40.007212,NaN,68.525
759,SVK,1995,NaN,18.990242,NaN,NaN
760,SVK,1996,NaN,20.198215,NaN,NaN
761,SVK,1997,NaN,21.49578,NaN,NaN
762,SVK,1998,NaN,22.578373,NaN,NaN
763,SVK,1999,NaN,23.212316,NaN,58.1
764,SVK,2000,NaN,23.959307,NaN,56.775
765,SVK,2001,NaN,24.800374,NaN,56.825
766,SVK,2002,NaN,26.583416,NaN,56.8
767,SVK,2003,NaN,28.668581,NaN,57.725
768,SVK,2020,NaN,46.076361,NaN,69.475
769,ESP,1970,NaN,19.456709,NaN,NaN
770,ESP,1971,NaN,20.254235,NaN,NaN
771,ESP,1972,NaN,21.883542,NaN,NaN
772,ESP,1973,NaN,23.266107,NaN,NaN
773,ESP,1974,NaN,24.326676,NaN,NaN
774,ESP,1975,NaN,24.740871,NaN,NaN
775,ESP,1976,NaN,25.741652,NaN,NaN
776,ESP,1977,NaN,26.69427,NaN,NaN
777,ESP,1978,NaN,27.944322,NaN,NaN
778,ESP,1979,NaN,29.080019,NaN,NaN
779,ESP,1980,NaN,30.842335,NaN,NaN
780,ESP,1981,NaN,32.129102,NaN,NaN
781,ESP,1982,NaN,33.182738,NaN,NaN
782,ESP,1983,NaN,34.482717,NaN,NaN
783,ESP,1984,NaN,36.786388,NaN,NaN
784,ESP,1985,NaN,38.244664,NaN,NaN
785,ESP,1986,NaN,38.769527,NaN,NaN
786,ESP,1987,NaN,39.227079,NaN,NaN
787,ESP,1988,NaN,39.92217,NaN,NaN
788,ESP,1989,NaN,40.663923,NaN,NaN
789,ESP,1990,NaN,40.610334,NaN,NaN
790,ESP,1991,NaN,40.93923,NaN,NaN
791,ESP,1992,NaN,42.095182,NaN,NaN
792,ESP,1993,NaN,43.075286,NaN,NaN
793,ESP,1994,NaN,44.336893,NaN,NaN
794,ESP,1995,NaN,44.707713,NaN,NaN
795,ESP,1996,NaN,45.202826,NaN,NaN
796,ESP,1997,NaN,45.127254,NaN,NaN
797,ESP,1998,NaN,44.914611,NaN,NaN
798,ESP,1999,NaN,44.756285,NaN,53.85
799,ESP,2000,NaN,44.96434,NaN,56.275
800,ESP,2001,NaN,45.03635,NaN,57.825
801,ESP,2002,NaN,45.106207,NaN,58.925
802,ESP,2003,NaN,45.24043,NaN,60.175
803,ESP,2004,NaN,45.385456,NaN,61.325
804,ESP,2005,NaN,45.562728,NaN,63.55
805,ESP,2006,NaN,45.829181,NaN,65.025
806,ESP,2020,NaN,52.253121,NaN,60.95
807,ESP,2021,NaN,51.226547,NaN,62.725
808,SWE,1970,NaN,30.206157,NaN,NaN
809,SWE,1971,NaN,31.127651,NaN,NaN
810,SWE,1972,NaN,32.497715,NaN,NaN
811,SWE,1973,NaN,34.000922,NaN,NaN
812,SWE,1974,NaN,34.804306,NaN,NaN
813,SWE,1975,NaN,35.534957,NaN,NaN
814,SWE,1976,NaN,35.500445,NaN,NaN
815,SWE,1977,NaN,35.610328,NaN,NaN
816,SWE,1978,NaN,36.955464,NaN,NaN
817,SWE,1979,NaN,38.157216,NaN,NaN
818,SWE,1980,NaN,38.351998,NaN,NaN
819,SWE,1981,NaN,38.68891,NaN,NaN
820,SWE,1982,NaN,38.877849,NaN,NaN
821,SWE,1983,NaN,39.271798,NaN,NaN
822,SWE,1984,NaN,40.507687,NaN,NaN
823,SWE,1985,NaN,40.87299,NaN,NaN
824,SWE,1986,NaN,41.775158,NaN,NaN
825,SWE,1987,NaN,42.560488,NaN,NaN
826,SWE,1988,NaN,42.515013,NaN,NaN
827,SWE,1989,NaN,43.046645,NaN,NaN
828,SWE,1990,NaN,43.065544,NaN,NaN
829,SWE,1991,NaN,43.618098,NaN,NaN
830,SWE,1992,NaN,44.583207,NaN,NaN
831,SWE,1993,NaN,45.56177,NaN,NaN
832,SWE,1994,NaN,46.707471,NaN,NaN
833,SWE,1995,NaN,47.578617,NaN,NaN
834,SWE,1996,NaN,48.395512,NaN,NaN
835,SWE,1997,NaN,50.360522,NaN,NaN
836,SWE,1998,NaN,51.691363,NaN,NaN
837,SWE,1999,NaN,52.468657,NaN,NaN
838,SWE,2000,NaN,54.375144,NaN,NaN
839,SWE,2001,NaN,54.797151,NaN,74.05
840,SWE,2002,NaN,56.754132,NaN,73.625
841,SWE,2003,NaN,58.928846,NaN,72.875
842,SWE,2004,NaN,60.978577,NaN,72.05
843,SWE,2005,NaN,62.707178,NaN,72.3
844,SWE,2006,NaN,64.541247,NaN,73.125
845,SWE,2007,NaN,64.701634,NaN,74.175
846,SWE,2008,NaN,63.575092,NaN,74.325
847,SWE,2009,NaN,62.666044,NaN,71.65
848,SWE,2010,NaN,64.863053,NaN,71.6
849,SWE,2011,NaN,65.418685,NaN,73.1
850,SWE,2012,NaN,65.083663,NaN,73.275
851,SWE,2020,NaN,70.525509,NaN,74.875
852,EST,2000,NaN,21.155461,NaN,60.275
853,EST,2001,NaN,22.383,NaN,61.075
854,EST,2002,NaN,23.877254,NaN,61.325
855,EST,2003,NaN,25.086689,NaN,62.95
856,EST,2004,NaN,26.787249,NaN,63.15
857,EST,2005,NaN,28.37254,NaN,64.825
858,EST,2006,NaN,29.802344,NaN,68.425
859,EST,2007,NaN,32.051758,NaN,69.725
860,EST,2008,NaN,30.93992,NaN,70.075
861,EST,2009,NaN,31.588678,NaN,64.2
862,EST,2010,NaN,33.2806,NaN,61.95
863,EST,2011,NaN,32.733169,NaN,65.7
864,EST,2012,NaN,33.822894,NaN,67.975
865,EST,2020,NaN,41.760009,NaN,73.975
866,SVN,1995,NaN,24.696415,NaN,NaN
867,SVN,1996,NaN,26.425819,NaN,NaN
868,SVN,1997,NaN,28.48187,NaN,NaN
869,SVN,1998,NaN,29.222361,NaN,NaN
870,SVN,1999,NaN,30.282513,NaN,62.2
871,SVN,2000,NaN,31.263905,NaN,62.85
872,SVN,2001,NaN,32.355075,NaN,63.8
873,SVN,2002,NaN,32.497236,NaN,63.45
874,SVN,2003,NaN,33.50062,NaN,62.575
875,SVN,2020,NaN,45.704734,NaN,70.05
876,LVA,2000,NaN,18.073126,NaN,NaN
877,LVA,2001,NaN,18.80082,NaN,NaN
878,LVA,2002,NaN,20.348649,NaN,59.95
879,LVA,2003,NaN,22.042334,NaN,60.75
880,LVA,2020,NaN,38.693729,NaN,71.475
881,LTU,1995,NaN,15.988801,NaN,NaN
882,LTU,1996,NaN,16.679871,NaN,NaN
883,LTU,1997,NaN,17.897998,NaN,NaN
884,LTU,1998,NaN,18.881262,NaN,NaN
885,LTU,1999,NaN,19.674674,NaN,NaN
886,LTU,2000,NaN,19.919349,NaN,NaN
887,LTU,2001,NaN,22.233444,NaN,NaN
888,LTU,2002,NaN,23.280649,NaN,NaN
889,LTU,2003,NaN,25.402728,NaN,NaN
890,LTU,2020,NaN,44.611804,NaN,71.625
891,BEL,2021,NaN,NaN,NaN,65.3
892,DNK,2021,NaN,NaN,NaN,75.475
893,FIN,2021,NaN,NaN,NaN,72.65
894,POL,2021,NaN,NaN,NaN,70.3
895,PRT,2021,NaN,NaN,NaN,70.15
896,SVK,2021,NaN,NaN,NaN,69.45
897,SWE,2021,NaN,NaN,NaN,75.375
898,EST,2021,NaN,NaN,NaN,73.975
899,SVN,2021,NaN,NaN,NaN,71.45
900,LVA,2021,NaN,NaN,NaN,69.85
901,LTU,2021,NaN,NaN,NaN,72.425
