country,Year,Income Inequality (no unit)
AUT,2007,0.284
AUT,2008,0.28
AUT,2009,0.289
AUT,2010,0.28
AUT,2011,0.281
AUT,2012,0.276
AUT,2013,0.28
AUT,2014,0.274
AUT,2015,0.275
AUT,2016,0.284
AUT,2017,0.275
AUT,2018,0.28
AUT,2019,0.274
BEL,2018,0.258
BEL,2019,0.262
CZE,2004,0.267
CZE,2005,0.261
CZE,2006,0.26
CZE,2007,0.256
CZE,2008,0.259
CZE,2009,0.257
CZE,2010,0.26
CZE,2011,0.257
CZE,2012,0.254
CZE,2013,0.259
CZE,2014,0.257
CZE,2015,0.258
CZE,2016,0.253
CZE,2017,0.249
CZE,2018,0.249
CZE,2019,0.248
DNK,2011,0.251
DNK,2012,0.249
DNK,2013,0.254
DNK,2014,0.256
DNK,2015,0.263
DNK,2016,0.261
DNK,2017,0.264
DNK,2018,0.263
FIN,1987,0.209
FIN,1988,0.213
FIN,1989,0.217
FIN,1990,0.215
FIN,1991,0.212
FIN,1992,0.211
FIN,1993,0.214
FIN,1994,0.215
FIN,1995,0.22
FIN,1996,0.224
FIN,1997,0.235
FIN,1998,0.243
FIN,1999,0.25
FIN,2000,0.254
FIN,2001,0.262
FIN,2002,0.258
FIN,2003,0.261
FIN,2004,0.266
FIN,2005,0.265
FIN,2006,0.268
FIN,2007,0.269
FIN,2008,0.264
FIN,2009,0.259
FIN,2010,0.264
FIN,2011,0.264
FIN,2012,0.26
FIN,2013,0.262
FIN,2014,0.257
FIN,2015,0.26
FIN,2016,0.259
FIN,2017,0.266
FIN,2018,0.269
FRA,2012,0.305
FRA,2013,0.291
FRA,2014,0.293
FRA,2015,0.295
FRA,2016,0.291
FRA,2017,0.292
FRA,2018,0.301
FRA,2019,0.292
DEU,2008,0.285
DEU,2011,0.291
DEU,2012,0.289
DEU,2013,0.292
DEU,2014,0.289
DEU,2015,0.293
DEU,2016,0.294
DEU,2017,0.289
DEU,2018,0.289
GRC,2004,0.333
GRC,2005,0.345
GRC,2006,0.337
GRC,2007,0.329
GRC,2008,0.328
GRC,2009,0.33
GRC,2010,0.336
GRC,2011,0.333
GRC,2012,0.338
GRC,2013,0.342
GRC,2014,0.339
GRC,2015,0.34
GRC,2016,0.333
GRC,2017,0.319
GRC,2018,0.306
GRC,2019,0.308
HUN,2006,0.264
HUN,2007,0.257
HUN,2008,0.246
HUN,2009,0.241
HUN,2010,0.266
HUN,2011,0.269
HUN,2012,0.279
HUN,2013,0.286
HUN,2014,0.281
HUN,2015,0.284
HUN,2016,0.28
HUN,2017,0.289
HUN,2018,0.28
HUN,2019,0.286
IRL,2004,0.323
IRL,2005,0.324
IRL,2006,0.316
IRL,2007,0.304
IRL,2008,0.295
IRL,2009,0.312
IRL,2010,0.298
IRL,2011,0.307
IRL,2012,0.31
IRL,2013,0.312
IRL,2014,0.298
IRL,2015,0.298
IRL,2016,0.309
IRL,2017,0.295
IRL,2018,0.292
ITA,2004,0.331
ITA,2005,0.324
ITA,2006,0.324
ITA,2007,0.313
ITA,2008,0.317
ITA,2009,0.315
ITA,2010,0.327
ITA,2011,0.327
ITA,2012,0.33
ITA,2013,0.325
ITA,2014,0.326
ITA,2015,0.333
ITA,2016,0.327
ITA,2017,0.334
ITA,2018,0.33
LUX,2015,0.306
LUX,2016,0.305
LUX,2017,0.327
LUX,2018,0.318
LUX,2019,0.305
NLD,2011,0.294
NLD,2012,0.293
NLD,2013,0.287
NLD,2014,0.305
NLD,2015,0.305
NLD,2016,0.292
NLD,2017,0.298
NLD,2018,0.295
NLD,2019,0.296
POL,2005,0.327
POL,2006,0.315
POL,2007,0.315
POL,2008,0.307
POL,2009,0.303
POL,2010,0.304
POL,2011,0.301
POL,2012,0.298
POL,2013,0.299
POL,2014,0.297
POL,2015,0.291
POL,2016,0.285
POL,2017,0.275
POL,2018,0.281
PRT,2004,0.383
PRT,2005,0.378
PRT,2006,0.368
PRT,2007,0.36
PRT,2008,0.354
PRT,2009,0.336
PRT,2010,0.341
PRT,2011,0.337
PRT,2012,0.337
PRT,2013,0.341
PRT,2014,0.338
PRT,2015,0.336
PRT,2016,0.331
PRT,2017,0.32
PRT,2018,0.317
PRT,2019,0.31
SVK,2004,0.267
SVK,2005,0.289
SVK,2006,0.251
SVK,2007,0.246
SVK,2008,0.257
SVK,2009,0.267
SVK,2010,0.265
SVK,2011,0.262
SVK,2012,0.251
SVK,2013,0.27
SVK,2014,0.247
SVK,2015,0.25
SVK,2016,0.241
SVK,2017,0.22
SVK,2018,0.236
SVK,2019,0.222
ESP,2007,0.313
ESP,2008,0.327
ESP,2009,0.333
ESP,2010,0.339
ESP,2011,0.341
ESP,2012,0.334
ESP,2013,0.345
ESP,2014,0.343
ESP,2015,0.344
ESP,2016,0.341
ESP,2017,0.333
ESP,2018,0.33
ESP,2019,0.32
SWE,2013,0.268
SWE,2014,0.274
SWE,2015,0.278
SWE,2016,0.282
SWE,2017,0.282
SWE,2018,0.275
SWE,2019,0.28
EST,2013,0.356
EST,2014,0.346
EST,2015,0.33
EST,2016,0.314
EST,2017,0.309
EST,2018,0.305
EST,2019,0.305
SVN,2004,0.241
SVN,2005,0.24
SVN,2006,0.237
SVN,2007,0.238
SVN,2008,0.234
SVN,2009,0.245
SVN,2010,0.245
SVN,2011,0.243
SVN,2012,0.249
SVN,2013,0.254
SVN,2014,0.251
SVN,2015,0.25
SVN,2016,0.244
SVN,2017,0.243
SVN,2018,0.249
SVN,2019,0.246
LVA,2004,0.364
LVA,2005,0.391
LVA,2006,0.35
LVA,2007,0.375
LVA,2008,0.375
LVA,2009,0.354
LVA,2010,0.346
LVA,2011,0.351
LVA,2012,0.346
LVA,2013,0.351
LVA,2014,0.349
LVA,2015,0.346
LVA,2016,0.346
LVA,2017,0.355
LVA,2018,0.351
LVA,2019,0.344
LTU,2004,0.349
LTU,2005,0.352
LTU,2006,0.328
LTU,2007,0.337
LTU,2008,0.357
LTU,2009,0.365
LTU,2010,0.329
LTU,2011,0.321
LTU,2012,0.35
LTU,2013,0.351
LTU,2014,0.38
LTU,2015,0.372
LTU,2016,0.378
LTU,2017,0.374
LTU,2018,0.361
LTU,2019,0.357
